Id,Label,Degree,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality
HND,HND,3,4.0,4.0,2.4240506329113924,0.2,0.0,0.0,0,0.0,0,0.0,0,0.0
MLT,MLT,3,8.0,5.0,2.8417721518987342,0.46003898635477586,0.0,0.0,0,0.0,0,0.0,0,0.0
MDV,MDV,5,5.0,4.0,2.4683544303797467,0.8730519480519481,0.0042342977,0.0042342977,4,0.004791649516813217,0,0.6,6,0.10450021525518477
CMR,CMR,3,3.0,4.0,2.3797468354430378,0.7333333333333333,0.0,0.0,0,0.0,0,0.0,0,0.0
RWA,RWA,4,12.0,4.0,2.588607594936709,7.6707070707070715,0.0,0.0,0,0.0,0,0.0,0,0.0
BGR,BGR,3,4.0,4.0,2.411392405063291,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
ECU,ECU,11,33.0,4.0,2.2088607594936707,33.974620447870194,0.007762879,0.007762879,0,0.00795720828087392,0,0.6222222222222222,28,0.20089544232954476
VNM,VNM,3,5.0,5.0,2.5569620253164556,1.3475252892877736,0.0,0.0,0,0.0,0,0.0,0,0.0
PRY,PRY,4,5.0,4.0,2.829113924050633,0.5679723502304146,0.0,0.0,0,0.0,0,0.0,0,0.0
SEN,SEN,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
SSD,SSD,1,7.0,5.0,3.1265822784810124,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
JOR,JOR,7,28.0,4.0,2.2848101265822787,1.2514882050849427,0.0056457305,0.0056457305,2,0.0059599193737043836,0,0.7142857142857143,15,0.17243990620309638
CHE,CHE,12,20.0,4.0,2.170886075949367,13.095796976597757,0.0091743115,0.0091743115,1,0.009208639033532504,0,0.5303030303030303,35,0.2569791737070826
TCD,TCD,3,8.0,5.0,2.9873417721518987,1.802020202020202,0.0,0.0,0,0.0,0,0.0,0,0.0
ERI,ERI,3,4.0,4.0,2.7531645569620253,0.48501400560224095,0.0,0.0,0,0.0,0,0.0,0,0.0
NZL,NZL,9,16.0,4.0,2.1835443037974684,3.989613794520242,0.007057163,0.007057163,1,0.007198189738534622,0,0.7222222222222222,26,0.2150018890906235
LBN,LBN,7,24.0,4.0,2.4240506329113924,0.6416433676195339,0.0056457305,0.0056457305,6,0.005849100405110312,0,0.8095238095238095,17,0.17157174686800195
CRI,CRI,1,5.0,5.0,3.3544303797468356,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
VUT,VUT,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0
HKG,HKG,9,30.0,4.0,2.1962025316455698,15.448970952321334,0.007057163,0.007057163,1,0.007563285849360012,0,0.6111111111111112,22,0.18512736972866933
MDA,MDA,3,4.0,4.0,2.6962025316455698,1.664423076923077,0.0,0.0,0,0.0,0,0.0,0,0.0
LKA,LKA,6,10.0,4.0,2.2848101265822787,3.7136065323565326,0.0049400143,0.0049400143,1,0.005582320848312739,0,0.7333333333333333,11,0.13515766542509883
ROU,ROU,10,20.0,4.0,2.2151898734177213,141.93094681074334,0.0063514467,0.0063514467,5,0.006810551774657484,0,0.6785714285714286,19,0.19283862073276464
URY,URY,11,22.0,4.0,2.221518987341772,9.300590690749987,0.008468595,0.008468595,0,0.00848452565286866,0,0.5272727272727272,29,0.21172809423273847
GIN,GIN,6,16.0,5.0,2.550632911392405,27.787690194958177,0.0028228653,0.0028228653,1,0.004056440295303131,0,0.3333333333333333,1,0.052742573432528
ARE,ARE,9,23.0,4.0,2.2088607594936707,82.62886827208197,0.007057163,0.007057163,0,0.00776447661450135,0,0.5555555555555556,20,0.21501126590186354
DZA,DZA,7,14.0,4.0,2.481012658227848,45.19581404258824,0.0049400143,0.0049400143,5,0.005671413813657385,0,0.6,9,0.11892692685295193
